vehicle_id,make,model,colour,fuel_type,cylinder_capacity,first_use_date
17113014,VAUXHALL,VIVARO,BLACK,DI,1995,2011-09-29
986649781,VAUXHALL,INSIGNIA,WHITE,DI,1956,2017-07-19
424684356,RENAULT,GRAND SCENIC,GREY,PE,1997,2010-07-19
1307056703,RENAULT,CLIO,BLACK,DI,1461,2014-05-30
130747047,FORD,FOCUS,SILVER,DI,1560,2013-07-10
777757523,HYUNDAI,I10,WHITE,PE,998,2016-05-21
840180863,BMW,1 SERIES,WHITE,PE,2979,2016-03-11
917255260,VAUXHALL,ASTRA,WHITE,PE,1364,2012-04-21
888103385,FORD,GALAXY,SILVER,DI,1997,2014-09-12
816803134,FORD,FIESTA,BLUE,PE,1299,2002-10-24
697184031,BMW,X1,WHITE,DI,1995,2016-03-31
919820431,TOYOTA,AURIS,BRONZE,PE,1329,2015-06-29
544950855,VAUXHALL,ASTRA,RED,DI,1956,2012-09-17
439876988,MINI,MINI,GREEN,PE,1598,2010-03-31
1075446447,CITROEN,C4,RED,DI,1560,2015-10-05
105663799,RENAULT,KADJAR,BLACK,PE,1332,2020-07-23
931759350,FIAT,DUCATO,WHITE,DI,2199,2008-04-18
335780567,HYUNDAI,I20,BLUE,PE,1396,2013-08-13
1153361746,TOYOTA,PRIUS,SILVER,HY,1800,2010-06-23
644861283,FORD,FIESTA,BLACK,PE,998,2015-09-03
449899992,BMW,3 SERIES,GREEN,DI,2926,2006-09-30
759696266,CITROEN,C4,BLUE,DI,1997,2011-12-19
1110416764,CITROEN,XSARA,SILVER,DI,1997,1999-06-30
137785384,MINI,MINI,GREY,DI,1598,2011-11-29
1291985882,LAND ROVER,DEFENDER,BLUE,DI,2495,2002-06-12
615735063,VOLKSWAGEN,CADDY,WHITE,DI,1598,2013-03-01
474362449,VAUXHALL,GRANDLAND,GREY,PE,1199,2018-11-12
1203222226,VAUXHALL,ASTRA,BLUE,PE,1598,2010-06-03
605696575,SUZUKI,SWIFT SZ-T DUALJET MHEV CVT,RED,HY,1197,2020-12-18
72093448,AUDI,A4,SILVER,DI,1896,2001-03-19
